_ --> 'hasCORS': false,$178$0$0,0$0,0$0,0$00:00:01,474
_ --> this.setState({routerClasses: 'page-current'});$4$4$1,0$1,0$0,015384615384615385$00:00:00,779
var attr = new core.Attr(name, value); --> var attr = this.ownerDocument.createAttribute(name, value);$1$1$1,0$1,0$0,006802721088435374$00:00:00,646
change_skin('skin-blue-light'); --> _$1$1$1,0$1,0$0,041666666666666664$00:00:00,431
position: relative; --> _$2$2$1,0$1,0$0,0028011204481792717$00:00:00,534
sleep(delay) --> await sleep(delay)$1$1$1,0$1,0$0,03225806451612903$00:00:00,919
var buttonEl = this; --> var $buttonEl = $(this);$1$1$1,0$1,0$0,03571428571428571$00:00:00,599
this.timeout(200); --> this.timeout(1500);$1$1$1,0$1,0$0,14285714285714285$00:00:00,762
_ --> this.audioController = audioControllerFactory();$9$9$1,0$1,0$0,0012853470437017994$00:00:00,480
body = this.json(params); --> _$5$5$1,0$1,0$0,0016420361247947454$00:00:00,726
if (a != undefined) --> if (a)$1$1$1,0$1,0$0,5$00:00:00,445
if (value) {expressions.push(value); --> argsComma.push(value);$3$3$1,0$1,0$1,0$00:00:00,802
lastTradeTimestamp = timeFilled; --> lastTradeTimestamp = timeFilled * 1000;$2$2$1,0$1,0$0,0030581039755351682$00:00:00,453
if (roomUrl == null) --> if (roomUrl === null)$1$1$1,0$1,0$0,002183406113537118$00:00:00,536
_ --> throw e;}return true;}$55$13$0,23636363636363636$0,23636363636363636$0,006711409395973154$00:00:00,640
return app.ready(); --> _$3$3$1,0$1,0$0,022727272727272728$00:00:00,634
while (true) --> while (current)$1$0$0,0$0,0$0,0$00:00:00,585
success_callback(); --> _$2$0$0,0$0,0$0,0$00:00:00,636
getDesktopStreamFailed(); --> getDesktopStreamFailed(error);$1$1$1,0$1,0$3,5688793718772306E-4$00:00:00,693
return input; --> return null;$7$5$0,7142857142857143$0,7142857142857143$0,0011976047904191617$00:00:00,536
_ --> 'hasCORS': LT,$178$0$0,0$0,0$0,0$00:00:00,550
_ --> ID.ID({routerClasses: 'page-current'});$4$4$1,0$1,0$0,058823529411764705$00:00:00,770
