_ --> 'hasCORS': false,$178$178$1,0$1,0$1,0$00:00:04,154$$
_ --> this.setState({routerClasses: 'page-current'});$4$4$1,0$1,0$1,0$00:00:03,659$$
var attr = new core.Attr(name, value); --> var attr = this.ownerDocument.createAttribute(name, value);$1$1$1,0$1,0$1,0$00:00:04,740$$
change_skin('skin-blue-light'); --> _$1$1$1,0$1,0$1,0$00:00:04,918$$
position: relative; --> _$2$2$1,0$1,0$1,0$00:00:05,138$$
sleep(delay) --> await sleep(delay)$1$1$1,0$1,0$1,0$00:00:05,358$$
var buttonEl = this; --> var $1$1$1,0$1,0$1,0$00:00:05,257$1,0$00:00:05,257
this.timeout(200); --> this.timeout(1500);$1$1$1,0$1,0$1,0$00:00:05,058$$
_ --> this.audioController = audioControllerFactory();$9$9$1,0$1,0$1,0$00:00:04,779$$
body = this.json(params); --> _$5$5$1,0$1,0$1,0$00:00:04,842$$
if (a != undefined) --> if (a)$1$1$1,0$1,0$1,0$00:00:05,090$$
if (value) {expressions.push(value); --> argsComma.push(value);$3$3$1,0$1,0$1,0$00:00:05,412$$
lastTradeTimestamp = timeFilled; --> lastTradeTimestamp = timeFilled * 1000;$2$2$1,0$1,0$1,0$00:00:05,153$$
if (roomUrl == null) --> if (roomUrl === null)$1$1$1,0$1,0$1,0$00:00:04,903$$
_ --> throw e;}return true;}$55$55$1,0$1,0$1,0$00:00:04,821$$
return app.ready(); --> _$3$3$1,0$1,0$1,0$00:00:03,171$$
while (true) --> while (current)$1$1$1,0$1,0$1,0$00:00:04,318$$
success_callback(); --> _$2$2$1,0$1,0$1,0$00:00:03,248$$
getDesktopStreamFailed(); --> getDesktopStreamFailed(error);$1$1$1,0$1,0$1,0$00:00:04,321$$
return input; --> return null;$7$7$1,0$1,0$1,0$00:00:04,957$$
_ --> 'hasCORS': LT,$178$178$1,0$1,0$1,0$00:00:05,200$$
_ --> ID.ID({routerClasses: 'page-current'});$4$4$1,0$1,0$1,0$00:00:05,263$$
var attr = new ID.Attr(ID, ID); --> var attr = this.ownerDocument.ID(ID, ID);$1$1$1,0$1,0$1,0$00:00:04,209$$
ID('skin-blue-light'); --> _$1$1$1,0$1,0$0,2$00:00:04,963$$
ID: relative; --> _$2$2$1,0$1,0$1,0$00:00:02,735$$
ID(delay) --> await ID(delay)$1$1$1,0$1,0$1,0$00:00:05,108$$
var buttonEl = ID<0>; --> var $1$1$1,0$1,0$1,0$00:00:05,130$1,0$00:00:05,130
ID<0>.timeout(LT); --> ID<0>.timeout(LT);$46$46$1,0$1,0$1,0$00:00:04,855$$
_ --> ID.ID = audioControllerFactory();$9$9$1,0$1,0$1,0$00:00:04,964$$
body = this.ID(ID); --> _$14$14$1,0$1,0$1,0$00:00:02,664$$
if (ID<0> != undefined) --> if (ID<0>)$1$1$1,0$1,0$1,0$00:00:04,624$$
if (ID<0>) {expressions.push(ID<0>); --> argsComma.push(ID<0>);$3$3$1,0$1,0$1,0$00:00:02,976$$
ID<0> = timeFilled; --> ID<0> = timeFilled * 1000;$2$2$1,0$1,0$1,0$00:00:03,205$$
if (ID<0> == null) --> if (ID<0> === null)$1$1$1,0$1,0$1,0$00:00:04,264$$
_ --> throw e;}return LT;}$55$55$1,0$1,0$1,0$00:00:02,659$$
return ID.ready(); --> _$3$3$1,0$1,0$1,0$00:00:02,968$$
while (LT) --> while (ID)$1$1$1,0$1,0$1,0$00:00:03,771$$
ID(true); --> _$19$19$1,0$1,0$1,0$00:00:03,192$$
ID<0>(); --> ID<0>(error);$6$6$1,0$1,0$1,0$00:00:02,569$$
return ID; --> return null;$51$49$0,9607843137254902$0,9607843137254902$0,5$00:00:04,816$$
if(EXPR) --> if(EXPR),$285$269$0,9438596491228071$0,9438596491228071$1,0$00:00:05,224$$
_ --> ID.ID({ID: LT});$62$62$1,0$1,0$0,25$00:00:05,210$$
var attr = new ID.Attr(ID, ID); --> var attr = this.ownerDocument.ID(ID, ID);$1$1$1,0$1,0$1,0$00:00:04,209$$
ID(LT); --> _$470$441$0,9382978723404255$0,9382978723404255$1,0$00:00:05,234$$
ID: ID;  --> _$95$95$1,0$1,0$1,0$00:00:04,773$$
ID(ID) --> await ID(ID)$86$86$1,0$1,0$1,0$00:00:04,962$$
var ID = ID; --> var ID  = $1$1$1,0$1,0$1,0$00:00:05,178$00:00:05,178$
ID<0>.ID<1>(LT); --> ID<0>.ID<1>(LT);$2153$1612$0,7487227124941942$0,7487227124941942$0,3333333333333333$00:00:05,084$$
_ --> ID.ID = ID();$30$30$1,0$1,0$0,25$00:00:05,151$$
ID = this.ID(ID); --> _$51$51$1,0$1,0$125$00:00:04,985$$
if (ID<0> != ID) --> if (ID<0>)$1$1$1,0$1,0$0,5$00:00:04,756$$
if (ID<0>) {ID.ID(ID<0>); --> ID.ID(ID<0>);$13$13$1,0$1,0$0,2$00:00:05,522$$
ID<0> = ID; --> ID<0> = ID * 1000;$2$2$1,0$1,0$1,0$00:00:04,820$$
if (ID<0> == LT) --> if (ID<0> === LT)$254$254$1,0$1,0$1,0$00:00:05,053$$
_ --> throw ID;}return LT;}$146$146$1,0$1,0$1,0$00:00:05,071$$
return ID.ID(); --> _$122$122$1,0$1,0$1,0$00:00:05,004$$
while (LT) --> while (EXPR)$1$1$1,0$1,0$1,0$00:00:04,973$$
ID(LT); --> _$470$441$0,9382978723404255$0,9382978723404255$1,0$00:00:05,234$$
ID<0>(); --> ID<0>(ID);$126$118$0,9365079365079365$0,9365079365079365$1,0$00:00:05,149$$
return ID; --> return LT;$216$167$0,7731481481481481$0,7731481481481481$0,3333333333333333$00:00:04,884$$
_ --> LT :LT,$28932$5000$0,1728190239181529$1,0$1,0$00:00:04,706$$
_ --> ID.ID({ID: EXPR});$89$89$1,0$1,0$1,0$00:00:05,046$$
var ID<0> = new ID.ID(<...>); -->var ID<0> = ID.ID.ID(<...>);$1$1$1,0$1,0$2,5207965717166626E-4$00:00:02,689$$
ID(<...>); --> _$4925$1023$0,20771573604060914$0,20771573604060914$1,0$00:00:04,959$$
ID: EXPR;-->_$97$97$1,0$1,0$1,0$00:00:04,909$$
ID<0>: LT --> ID<0>: LT$8204$4610$0,5619210141394442$922$1,0$00:00:04,867$$
<...> --> await <...>$2415$2415$1,0$1,0$1,0$00:00:03,602$$
var ID = <...>; --> var ID = ID(<...>);$524$435$0,8301526717557252$0,8301526717557252$1,0$00:00:04,204$$
this.ID<0>(EXPR); --> this.ID<0>(EXPR);$551$385$0,6987295825771325$0,6987295825771325$0,16666666666666666$00:00:05,182$$
_ --> ID.ID = ID(<...>);$443$391$0,8826185101580135$0,8826185101580135$1,0$00:00:05,149$$
ID = ID.ID(<...>); -->_$797$588$0,7377666248431619$0,7377666248431619$1,0$00:00:04,864$$
if (ID binOP ID) -->  if (<...>)$472$471$0,9978813559322034$0,9978813559322034$0,5$00:00:04,898$$
if (ID) { ID.ID(<...>); --><...>$131$107$0,816793893129771$0,816793893129771$0,05263157894736842$00:00:05,387$$
<...> = EXPR<0>;--><...> = EXPR<0> binOP EXPR;$99$53$0,5353535353535354$0,5353535353535354$0,2$00:00:05,248$$
if (ID<0> binOP null)-->if (ID<0> binOP null)$11$11$1,0$1,0$1,0$00:00:05,230$$
_-->throw EXPR;$176$176$1,0$1,0$1,0$00:00:05,091$$
return ID.ID(<...>);-->_$348$228$0,6551724137931034$0,6551724137931034$1,0$00:00:05,236$$
while (<...>) --> while (<...>)$38$38$1,0$1,0$1,0$00:00:05,202$$
ID(<...>);-->_$4925$1023$0,20771573604060914$0,20771573604060914$1,0$00:00:05,032$$
ID(<...>);-->ID(ID);$1348$585$0,43397626112759646$0,43397626112759646$1,0$00:00:05,445$$
