EXPR = ID<1>(<...>);-->EXPR = ID<1>(<...>);$696$0,6$0,6$1,0$00:00:23,825
EXPR = ID<1>(<...>)-->EXPR = ID<1>(<...>)$736$0,47361647361647363$0,47361647361647363$0,2$00:00:25,467
ID<0>.ID<1>(ID, LT)-->ID<0>.ID<1>(ID, LT)$178$0,321880650994575$0,321880650994575$1,0$00:00:23,427
LT-->LT binOP LT$190$0,4408352668213457$0,4408352668213457$1,0$00:00:20,422
return ID;-->return ID;$711$0,4575289575289575$0,4575289575289575$0,3333333333333333$00:00:22,027
<...>;-->_$62$0,43661971830985913$0,43661971830985913$1,0$00:00:22,289
System.out.println(EXPR);-->_$323$1,0$1,0$1,0$00:00:16,262
_-->System.out.println(<...>)$247$1,0$1,0$1,0$00:00:08,836
EXPR = ID()-->EXPR = ID(ID)$17$0,7083333333333334$0,7083333333333334$0,0012853470437017994$00:00:18,554
EXPR = LT-->EXPR = ID$66$0,75$0,75$0,0027624309392265192$00:00:20,146
<...>-->} else {$1591$0,02248699683401176$0,3182$1,0$00:00:15,955
<...> ID(<...>) throws ID { --> <...> ID(<...>) {$845$0,9837019790454016$0,9837019790454016$1,0$00:00:18,722
public void ID(<...>) { -->public static void ID(<...>) {$15$0,7142857142857143$0,7142857142857143$1,0$00:00:19,651
EXPR-->try {EXPR;} catch (ID ID) {<...>}$38$1,0$1,0$0,037037037037037035$00:00:26,315
_-->for (ID ID: ID) {$547$0,9873646209386282$0,9873646209386282$1,0$00:00:14,787
ID.toString()-->ID.toString()$1003$1,0$1,0$1,0$00:00:19,942
ID.hashCode()-->ID.hashCode()$95$1,0$1,0$0,016666666666666666$00:00:18,456
ID binOP ID-->ID binOP ID$509$0,12478548663888207$0,12478548663888207$0,5$00:00:21,304
_-->ID unOP$41$0,016367265469061875$0,016367265469061875$0,038461538461538464$00:00:06,133
