query,Without hash collision,results,With hash colliding,results
"ID<1>(ID<2>, LT<3>);-->ID<1>(LT<3>, ID<2>);",1.0,0,1.0,0
EXPR = ID<1>(<...>);-->EXPR = ID<1>(<...>);,1.0,0,1.0,0
"ID<0>.ID<1>(ID, LT)-->ID<0>.ID<1>(ID, LT)", ,23/553,0.015,8/553
LT-->LT binOP LT, ,64/553,"",8/431
return;-->return ID;, ,27/28,"",27/28
System.out.println(EXPR);-->_, ,78/323,"",184/323
ID<0> * ID<1>;-->ID<0> + ID<1>;,1.0,0,1.0,0
EXPR = LT;--> EXPR = ID;,1.0,0,1.0,0
_-->import java.io.ID;, ,1733/1776,"",1733/1776
if (EXPR != null) {-->if (EXPR == null) {, ,5/5,1.0,5/5
EXPR-->try {EXPR;} catch(ID ID) {<...>}, ,0,0.132,0/38
EXPR = ID + LT;-->EXPR = LT + ID;,1.0,0,1.0,0
EXPR.ID<0>(); --> EXPR.ID<0>();, ,424,0.119,436/812
EXPR.ID<0>(EXPR<0>); --> EXPR.ID<0>(EXPR<0>);, ,607,0.000686,0/2917
"EXPR.ID<0>(EXPR<0>, EXPR<1>); --> EXPR.ID<0>(EXPR<0>, EXPR<1>);", ,351,0.0051,0/1763
"EXPR.ID<0>(EXPR<0>, EXPR<1>,EXPR<2>, EXPR<3>); --> EXPR.ID<0>(EXPR<0>, EXPR<1>, EXPR<2>, EXPR<2>);", ,0,0.0,0/13
<...> ID(<...>) throws ID { --> <...> ID(<...>) {,477,632,0.685,614/859
ID<1>.ID<0>(<...>) unOP --> ID<1>.ID<0>(<...>) unOP,1.0,0,1.0,0
ID<0>() --> ID<0>(EXPR), ,2/3,1.0,3/3
if (ID<0>) {--> if (EXPR || ID<0>) {,1.0,0,1.0,0
